ID,Smoke,Drugs,Alcohol,Sport,Family,,id
1,1,1,3,1,2,,A
2,3,3,2,1,1,,B
3,1,1,3,1,2,,C
4,1,1,2,1,1,,D
5,1,3,4,2,1,,E
6,3,1,4,2,1,,F
7,3,2,3,2,1,,G
8,3,3,4,2,2,,H
9,1,1,2,1,1,,I
10,2,1,4,2,1,,J
11,1,2,5,1,1,,K
12,3,3,5,1,2,,L
13,1,3,2,1,1,,M
14,3,1,3,1,1,,N
15,3,3,5,1,1,,O
16,3,2,4,1,2,,P
17,2,2,4,1,1,,Q
18,1,2,3,1,2,,R
19,3,3,5,1,1,,S
20,1,1,3,2,1,,T
21,1,1,3,2,1,,U
22,1,1,3,2,1,,V
23,3,3,2,1,1,,W
24,1,2,3,2,1,,X
25,1,1,4,1,1,,Y
26,3,3,3,1,1,,Z
27,1,1,3,1,1,,AA
28,1,1,4,2,1,,BB
29,1,1,3,2,1,,CC
30,3,3,4,1,2,,DD
31,1,1,4,2,1,,EE
32,1,1,4,1,2,,FF
33,3,1,3,2,2,,GG
34,1,1,2,1,1,,HH
35,1,3,4,1,1,,II
36,3,3,4,1,1,,JJ
37,1,1,3,2,1,,KK
38,1,3,4,1,1,,LL
39,1,1,3,2,1,,MM
40,1,1,1,2,1,,NN
41,3,3,4,1,2,,OO
42,3,3,5,1,1,,PP
43,1,2,4,2,1,,QQ
44,1,3,5,1,1,,RR
45,1,1,2,2,1,,SS
46,1,1,2,1,1,,TT
47,1,1,2,1,1,,UU
48,1,1,4,2,1,,VV
49,1,1,3,1,1,,WW
50,3,3,3,1,1,,XX
