ID	Smoke	Drugs	Alcohol	Sport	Family	id	smo	alc 	dru
1	1	1	3	1	2	A	1	2	1
2	3	3	2	1	1	B	2	1	2
3	1	1	3	1	2	C	1	2	1
4	1	1	2	1	1	D	1	1	1
5	1	3	4	2	1	E	1	2	2
6	3	1	4	2	1	F	2	2	1
7	3	2	3	2	1	G	2	2	2
8	3	3	4	2	2	H	2	2	2
9	1	1	2	1	1	I	1	1	1
10	2	1	4	2	1	J	2	2	1
11	1	2	5	1	1	K	1	2	2
12	3	3	5	1	2	L	2	2	2
13	1	3	2	1	1	M	1	1	2
14	3	1	3	1	1	N	2	2	1
15	3	3	5	1	1	O	2	2	2
16	3	2	4	1	2	P	2	2	2
17	2	2	4	1	1	Q	2	2	2
18	1	2	3	1	2	R	1	2	2
19	3	3	5	1	1	S	2	2	2
20	1	1	3	2	1	T	1	2	1
21	1	1	3	2	1	U	1	2	1
22	1	1	3	2	1	V	1	2	1
23	3	3	2	1	1	W	2	1	2
24	1	2	3	2	1	X	1	2	2
25	1	1	4	1	1	Y	1	2	1
26	3	3	3	1	1	Z	2	2	2
27	1	1	3	1	1	AA	1	2	1
28	1	1	4	2	1	BB	1	2	1
29	1	1	3	2	1	CC	1	2	1
30	3	3	4	1	2	DD	2	2	2
31	1	1	4	2	1	EE	1	2	1
32	1	1	4	1	2	FF	1	2	1
33	3	1	3	2	2	GG	2	2	1
34	1	1	2	1	1	HH	1	1	1
35	1	3	4	1	1	II	1	2	2
36	3	3	4	1	1	JJ	2	2	2
37	1	1	3	2	1	KK	1	2	1
38	1	3	4	1	1	LL	1	2	2
39	1	1	3	2	1	MM	1	2	1
40	1	1	1	2	1	NN	1	1	1
41	3	3	4	1	2	OO	2	2	2
42	3	3	5	1	1	PP	2	2	2
43	1	2	4	2	1	QQ	1	2	2
44	1	3	5	1	1	RR	1	2	2
45	1	1	2	2	1	SS	1	1	1
46	1	1	2	1	1	TT	1	1	1
47	1	1	2	1	1	UU	1	1	1
48	1	1	4	2	1	VV	1	2	1
49	1	1	3	1	1	WW	1	2	1
50	3	3	3	1	1	XX	2	2	2
